Max Temp,Cloudiness,Humidity,Country,Wind Speed,Lng,City,Lat,Date,parsed_time
28.69,100,95,KZ,21.34,58.14,Emba,48.83,1580002503,2020-01-26 01:35:03
67.64,100,92,AO,5.68,20.78,Lumeje,-11.55,1580002505,2020-01-26 01:35:05
49.59,98,85,CN,5.82,110.83,Jinji,23.23,1580002506,2020-01-26 01:35:06
75.2,95,53,AU,6.93,121.9,Esperance,-33.87,1580002507,2020-01-26 01:35:07
67.26,0,17,GN,1.21,-10.1,Kissidougou,9.18,1580002508,2020-01-26 01:35:08
80.6,75,78,VU,6.93,169.27,Isangel,-19.55,1580002509,2020-01-26 01:35:09
66.2,33,82,BR,5.82,-45.49,Caraguatatuba,-23.63,1580002510,2020-01-26 01:35:10
72,75,56,AU,11.41,147.06,New Norfolk,-42.78,1580002511,2020-01-26 01:35:11
-36.72,100,98,RU,3.04,143.2,Ust-Nera,64.57,1580002512,2020-01-26 01:35:12
69.3,5,26,NG,6.2,4.42,Wawa,9.9,1580002513,2020-01-26 01:35:13
24.01,79,84,NO,10.29,17.98,Finnsnes,69.23,1580002515,2020-01-26 01:35:15
70.66,89,64,NG,0.47,6.26,Yenagoa,4.92,1580002516,2020-01-26 01:35:16
65.64,98,51,NZ,4.76,167.68,Tuatapere,-46.13,1580002517,2020-01-26 01:35:17
74.64,2,48,IN,8.37,77.28,Adoni,15.63,1580002518,2020-01-26 01:35:18
37.67,100,85,CN,6.42,111.43,Lengshuijiang,27.69,1580002519,2020-01-26 01:35:19
50,90,100,US,10.47,-73.36,Westport,41.14,1580002520,2020-01-26 01:35:20
-23.94,22,96,RU,2.64,102.5,Khatanga,71.97,1580002521,2020-01-26 01:35:21
30.99,40,79,RU,4.47,30.79,Nikolskoye,59.7,1580002522,2020-01-26 01:35:22
87.8,99,62,VE,9.17,-63.86,La Asuncion,11.03,1580002523,2020-01-26 01:35:23
68,75,94,ZA,17.22,25.57,Port Elizabeth,-33.92,1580002513,2020-01-26 01:35:13
46.99,90,75,US,12.75,-74.36,Brigantine,39.41,1580002526,2020-01-26 01:35:26
63,75,87,US,10.29,-121.92,Pacific Grove,36.62,1580002252,2020-01-26 01:30:52
35.6,75,85,RU,11.18,40.05,Almaznyy,48.04,1580002530,2020-01-26 01:35:30
33.01,93,96,LV,5.01,25.05,Mazsalaca,57.86,1580002531,2020-01-26 01:35:31
37.4,75,55,IR,6.93,54.02,Meybod,32.25,1580002532,2020-01-26 01:35:32
79.56,53,80,BR,8.12,-36.83,Girau do Ponciano,-9.88,1580002534,2020-01-26 01:35:34
61,90,93,US,3.36,-98.03,Hays,30.05,1580002510,2020-01-26 01:35:10
73.4,75,78,RE,9.17,55.77,Saint-Philippe,-21.36,1580002536,2020-01-26 01:35:36
-13,90,75,CA,23.04,-133.04,Tuktoyaktuk,69.45,1580002537,2020-01-26 01:35:37
75.7,100,93,EC,6.02,-79.62,Velasco Ibarra,-1.05,1580002538,2020-01-26 01:35:38
10.4,90,85,CA,6.93,-114.35,Yellowknife,62.46,1580002539,2020-01-26 01:35:39
19.99,5,78,CA,13.87,-52.73,Torbay,47.67,1580002513,2020-01-26 01:35:13
46.4,100,100,GB,13.87,1.39,Margate,51.38,1580002541,2020-01-26 01:35:41
42.8,75,87,JP,18.34,138.95,Shimoda,34.67,1580002545,2020-01-26 01:35:45
89.6,40,70,KI,4.7,172.98,Bairiki Village,1.33,1580002546,2020-01-26 01:35:46
57.99,100,100,MT,8.05,14.54,Marsaxlokk,35.84,1580002547,2020-01-26 01:35:47
48.99,20,93,IT,2.24,16.18,Vieste,41.88,1580002549,2020-01-26 01:35:49
-28.1,0,67,RU,5.19,128.87,Tiksi,71.69,1580002414,2020-01-26 01:33:34
23.34,100,75,GL,16.98,-45.24,Nanortalik,60.14,1580002553,2020-01-26 01:35:53
59,1,82,US,4.7,-121.42,Laguna,38.42,1580002554,2020-01-26 01:35:54
9.25,15,93,RU,5.57,34.32,Segezha,63.74,1580002555,2020-01-26 01:35:55
82.02,100,65,MV,4.36,73.1,Dhidhdhoo,6.88,1580002556,2020-01-26 01:35:56
-5.44,0,69,RU,3.4,-173.3,Provideniya,64.38,1580002557,2020-01-26 01:35:57
59,75,93,CN,17.22,113.57,Zhuhai,22.28,1580002558,2020-01-26 01:35:58
64,0,64,AR,4,-58.74,Necochea,-38.55,1580002446,2020-01-26 01:34:06
75.31,0,49,PY,2.89,-57.87,Fuerte Olimpo,-21.04,1580002560,2020-01-26 01:36:00
22.91,0,66,CN,4.18,109.98,Dongsheng,39.82,1580002561,2020-01-26 01:36:01
-9,1,74,US,6.04,-147.72,Fairbanks,64.84,1580002450,2020-01-26 01:34:10
62.11,0,78,MX,9.37,-114.06,Guerrero Negro,27.98,1580002564,2020-01-26 01:36:04
53.01,100,93,CN,14.23,121.66,Huilong,31.81,1580002565,2020-01-26 01:36:05
-34.04,0,95,RU,2.84,131.17,Borogontsy,62.67,1580002566,2020-01-26 01:36:06
72.14,100,82,CD,1.52,26.67,Kampene,-3.6,1580002567,2020-01-26 01:36:07
21.2,71,62,CN,6.71,75.98,Kashgar,39.45,1580002569,2020-01-26 01:36:09
63,1,87,US,4.7,-117,La Presa,32.71,1580002281,2020-01-26 01:31:21
73.99,0,84,SV,9.13,-89.83,Acajutla,13.59,1580002571,2020-01-26 01:36:11
83.39,61,82,PG,16.02,141.3,Vanimo,-2.67,1580002574,2020-01-26 01:36:14
21.74,100,95,RU,5.84,51.17,Krotovka,53.29,1580002575,2020-01-26 01:36:15
77,40,78,MU,14.99,57.76,Bambous Virieux,-20.34,1580002495,2020-01-26 01:34:55
80.6,0,57,CR,4.7,-85.45,Nicoya,10.15,1580002577,2020-01-26 01:36:17
73.94,21,63,CV,18.75,-24.5,Sao Filipe,14.9,1580002578,2020-01-26 01:36:18
63.37,100,79,NZ,7.38,167.72,Te Anau,-45.42,1580002539,2020-01-26 01:35:39
77,75,83,BB,6.93,-59.52,Bathsheba,13.22,1580002580,2020-01-26 01:36:20
62.6,20,63,ES,4.7,-17.92,Los Llanos de Aridane,28.66,1580002581,2020-01-26 01:36:21
47.66,100,98,CN,5.66,117.62,Sanming,26.25,1580002583,2020-01-26 01:36:23
61.7,0,56,IN,5.19,88.77,Haldibari,26.33,1580002584,2020-01-26 01:36:24
46,75,86,US,7.94,-76.45,Lexington Park,38.27,1580002585,2020-01-26 01:36:25
68.27,43,14,CI,1.5,-2.8,Bondoukou,8.03,1580002586,2020-01-26 01:36:26
20.57,0,61,CN,1.07,97.2,Yumen,40.28,1580002587,2020-01-26 01:36:27
57.99,83,97,ZA,13,19.23,Hermanus,-34.42,1580002588,2020-01-26 01:36:28
24.8,90,100,RU,2.24,50.11,Alekseyevskoye,55.31,1580002589,2020-01-26 01:36:29
36,100,80,CN,8.95,119.98,Yinzhu,35.88,1580002591,2020-01-26 01:36:31
76.26,77,72,CO,0.78,-73.78,La Macarena,2.18,1580002592,2020-01-26 01:36:32
-13,90,69,CA,19.46,-135.01,Aklavik,68.22,1580002593,2020-01-26 01:36:33
44.01,76,63,CN,5.32,102.26,Xichang,27.9,1580002594,2020-01-26 01:36:34
15.31,0,46,CN,1.63,86.15,Korla,41.76,1580002595,2020-01-26 01:36:35
17.6,90,85,CA,5.82,-101.86,Flin Flon,54.77,1580002596,2020-01-26 01:36:36
76.28,100,89,MG,3.74,49.05,Ambilobe,-13.2,1580002543,2020-01-26 01:35:43
84.2,1,51,US,20.8,-156.47,Kihei,20.79,1580002598,2020-01-26 01:36:38
57.07,0,19,CM,8.28,15.23,Yagoua,10.34,1580002599,2020-01-26 01:36:39
75.16,0,82,BR,6.76,-42.03,Arraial do Cabo,-22.97,1580002601,2020-01-26 01:36:41
78.28,52,81,SO,20.22,50.81,Bandarbeyla,9.49,1580002604,2020-01-26 01:36:44
75.56,74,68,BR,14.32,-50.21,Cidreira,-30.18,1580002549,2020-01-26 01:35:49
60.89,7,61,YE,9.31,46.47,Marzuq,14.4,1580002607,2020-01-26 01:36:47
32.81,100,87,RU,30.65,163.07,Ossora,59.24,1580002608,2020-01-26 01:36:48
34,90,85,CN,2.84,103.79,Lanzhou,36.06,1580002527,2020-01-26 01:35:27
87.8,20,62,PF,14.99,-149.15,Tautira,-17.73,1580002611,2020-01-26 01:36:51
37.99,100,69,SE,10.29,14.64,OEstersund,63.18,1580002612,2020-01-26 01:36:52
77,20,100,LR,5.79,-10.8,Monrovia,6.3,1580002613,2020-01-26 01:36:53
39.6,0,42,SD,5.14,24.67,Kutum,14.2,1580002614,2020-01-26 01:36:54
68,0,82,NA,10.29,15.16,Luderitz,-26.65,1580002615,2020-01-26 01:36:55
73.87,94,75,PE,5.97,-78.58,Chimbote,-9.09,1580002559,2020-01-26 01:35:59
39.88,0,61,CN,3.83,107.03,Hanzhong,33.07,1580002617,2020-01-26 01:36:57
73.42,100,99,BR,2.82,-52,Amapa,1,1580002542,2020-01-26 01:35:42
72.57,36,79,SO,6.62,48.48,Garoowe,8.41,1580002619,2020-01-26 01:36:59
50.99,43,46,LY,9.4,21.55,Jalu,29.03,1580002608,2020-01-26 01:36:48
-13,1,69,US,3.36,-165.41,Nome,64.5,1580002432,2020-01-26 01:33:52
61.56,100,78,AU,20.42,141.97,Codrington,-38.27,1580002623,2020-01-26 01:37:03
18.21,100,76,NO,20.45,27.85,Mehamn,71.04,1580002624,2020-01-26 01:37:04
46.4,90,100,US,10.02,-76.51,Mayo,38.89,1580002597,2020-01-26 01:36:37
55.06,0,26,NG,8.66,10.19,Azare,11.68,1580002626,2020-01-26 01:37:06
78.8,40,88,MY,2.24,103.14,Kuala Terengganu,5.33,1580002428,2020-01-26 01:33:48
80.46,91,78,NC,16.35,164.7,Voh,-20.97,1580002628,2020-01-26 01:37:08
75.9,100,94,BR,2.84,-39.58,Itapipoca,-3.49,1580002629,2020-01-26 01:37:09
57.2,40,87,PT,3.36,-25.67,Ponta Delgada,37.73,1580002632,2020-01-26 01:37:12
45,0,87,PS,3.36,34.47,Gaza,31.5,1580002633,2020-01-26 01:37:13
77.86,92,70,GW,7.76,-15.83,Bubaque,11.28,1580002611,2020-01-26 01:36:51
-8.99,83,100,RU,3.53,70.83,Yar-Sale,66.83,1580002635,2020-01-26 01:37:15
68,75,94,TZ,0.45,36.68,Arusha,-3.37,1580002636,2020-01-26 01:37:16
76.68,0,31,AR,5.88,-59.31,Gualeguay,-33.14,1580002637,2020-01-26 01:37:17
28.4,90,100,IS,10.29,-17.34,Husavik,66.04,1580002401,2020-01-26 01:33:21
80.6,20,78,AO,4.7,13.23,Luanda,-8.84,1580002557,2020-01-26 01:35:57
80.01,0,69,AR,11.41,-58.62,Moron,-34.65,1580002433,2020-01-26 01:33:53
-2.2,100,91,FI,4.7,25.72,Rovaniemi,66.5,1580002642,2020-01-26 01:37:22
66.99,5,64,NZ,10.45,169.85,Kaitangata,-46.28,1580002589,2020-01-26 01:36:29
14,96,66,GL,3.36,-46.05,Narsaq,60.92,1580002644,2020-01-26 01:37:24
33.8,1,59,US,5.82,-105.57,Taos,36.41,1580002645,2020-01-26 01:37:25
58.17,0,16,NE,14.2,8.89,Tanout,14.97,1580002647,2020-01-26 01:37:27
25.23,53,89,RU,5.44,32.34,Volkhov,59.93,1580002648,2020-01-26 01:37:28
31.23,77,82,IS,15.55,-23.71,Olafsvik,64.89,1580002649,2020-01-26 01:37:29
84.2,40,79,BR,6.93,-34.86,Olinda,-8.01,1580002651,2020-01-26 01:37:31
53.6,20,46,AR,23.04,-69.22,Rio Gallegos,-51.62,1580002433,2020-01-26 01:33:53
83.55,29,78,ID,2.04,118.97,Majene,-3.54,1580002653,2020-01-26 01:37:33
-12.8,100,98,RU,3.15,52.15,Ust-Tsilma,65.44,1580002654,2020-01-26 01:37:34
